source_id,category,evidence_class,title,author_or_org,published_or_snapshot_date,accessed_utc,url_or_path,topic_id,scope,key_claim,claimed_method,deck_archetype,compute_sample,evaluation,claimed_rank_score,reproducibility,comments_reviewed,confidence_tier,contradictions_limitations
P001,project,Verified project fact,00_READ_ME_FIRST.md,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,00_READ_ME_FIRST.md,,Primary project evidence,Archive provenance and explicit competence limitation.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P002,project,Verified project fact,01_CURRENT_STATE_ADDENDUM.md,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,01_CURRENT_STATE_ADDENDUM.md,,Primary project evidence,"Gate status, blockers, TPU observations, and preliminary strategy hypothesis.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P003,project,Verified project fact,MANIFEST.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,MANIFEST.json,,Primary project evidence,345 payload members with hashes and byte counts; independently recalculated clean.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P004,project,Verified project fact,04_OMITTED_ASSETS.md,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,04_OMITTED_ASSETS.md,,Primary project evidence,"Raw replays, native engine, official card data, full checkpoint, and TPU outputs omitted.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P005,project,Verified project fact,SECRET_SCAN_REPORT.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,SECRET_SCAN_REPORT.json,,Primary project evidence,Packager secret/binary scan passed; not proof beyond scanned patterns.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P006,project,Verified project fact,05_LIVE_KAGGLE_SNAPSHOT_2026-07-24.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,05_LIVE_KAGGLE_SNAPSHOT_2026-07-24.json,,Primary project evidence,Same-day provisional top-25 leaderboard and quota snapshot.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P007,project,Verified project fact,01_MASTER_PLAN.md,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,root_context/01_MASTER_PLAN.md,,Primary project evidence,Original evidence-first gate programme and authorization boundaries.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P008,project,Verified project fact,PROJECT_STATUS.md,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/PROJECT_STATUS.md,,Primary project evidence,Narrative project status to cross-check.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P009,project,Verified project fact,PROGRESS_REPORT.md,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/PROGRESS_REPORT.md,,Primary project evidence,Progress narrative and engineering claims to cross-check.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P010,project,Verified project fact,g1r-gate-report.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/reports/gates/g1r-gate-report.json,,Primary project evidence,G1R action/environment gate PASS.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
