priority,experiment_id,title,decision_resolved,hypothesis,strongest_alternative,inputs_and_provenance,deck,teacher_or_opponent_population,model_initialization,trainable_parameters_and_losses,compute_platform,choice_game_update_budget,wall_time_low_hours,wall_time_base_hours,wall_time_high_hours,checkpoint_resume_plan,primary_metric,negative_controls,screening_threshold,confirmation_threshold,catastrophic_stop_conditions,maximum_compute_loss,pass_next_action,fail_next_action,ambiguous_next_action,entry_gate,owner,deadline_utc,expected_gold_decision_value_1_5,engineering_cost_1_5,compute_cost_1_5,priority_rationale
1,E01,Exact-deck teacher and replay-safety qualification,"Whether imitation is legally, semantically, and statistically defensible for any specialist before training.","At least one exact 60-card archetype has a recent, settled, policy-consistent teacher corpus with >=25,000 valid meaningful decisions and no unresolved action alignment.","Public replay selection is too biased, teacher identity/deck is too uncertain, or labels cannot be authorized; imitation should be abandoned.",Official episode/deck interfaces; current daily top-episode indices; project semantic replay loader; exact deck SHA-256; teacher/rating/date receipts. Raw bodies are not in this audit pack and must be acquired under separate authorization.,Mega Lucario default; Starmie challenger; Dragapult as high-complexity comparator.,"At least 2 independent strong teachers per candidate, plus lower-rated and losing episodes for coverage diagnostics.",None. Evidence/data gate only.,None.,CPU; no cloud accelerator.,0 training choices; target >=200 episodes and >=25k meaningful decisions for a passing deck.,1.0,3.0,6.0,Versioned acquisition manifest; content hashes; append-only audit; no mutable labels.,"Valid full-action label rate, exact-deck certainty, teacher consistency, duplicate-adjusted episode/decision count, matchup/time coverage.",Attempt parsing intentionally shifted actions; cross-deck teacher mixing; duplicate episodes; forced/setup rows.,"One candidate with exact legal 60-card list, >=1 strong teacher, >=5k valid decisions, zero unresolved labels.",Exact list + >=2 independent recent teachers + >=25k meaningful decisions + episode-level dedup/splits + zero unresolved labels + documented license/authorization.,"Any hidden/private leakage, invalid labels, deck mismatch, unauthorized data use, duplicate contamination across splits, or unresolved compound-action reconstruction.",0 accelerator hours; <=6 analyst/CPU hours.,Authorize E02/E03 for the passing deck through a new decision record.,Stop imitation; retain deterministic hedge and run only bounded PPO canary after E04.,Acquire the smallest missing sample or a second teacher; do not train.,Read-only acquisition/analysis authorization and official rules check.,Research/data lead,2026-07-25T18:00:00Z,5,2,1,It can invalidate the recommended path before any material compute and resolves the largest unknown.
2,E04,Minimal CABT actor/learner bridge qualification,"Whether the proven PPO components can operate on real CABT trajectories without semantic, recurrent, or lifecycle corruption.","A minimal bridge can reproduce stored compound log-probabilities, attach both-player boundaries, and run 100 games with zero reliability events before any optimizer step.",Integration defects dominate and make both on-policy evaluation and fine-tuning unsafe.,"Frozen G1/G2/G3a source/configs, exact engine/card/deck hashes, rule opponents, no training.",Mega Lucario engineering candidate plus Mega Abomasnow smoke anchor.,Random legal and included rule agents.,Frozen G2 checkpoint or deterministic freshly initialized policy for no-update qualification.,No optimizer steps; all parameters frozen.,Local/private CPU first; T4x2 only after local pass.,"0 training choices; 10-game smoke, then 100-game/10k-decision qualification.",0.5,2.0,6.0,Attempt-scoped manifests; exact request/action traces; deterministic bridge resume test.,Zero invalid/fallback/stale/out-of-order/owner-crossing events; old compound log-prob max error <=1e-5; terminal/truncation classification 100%.,"Injected stale request, duplicate action index, worker death, forced-only step, partial multi-select/STOP, two-player terminal ordering.",10 games complete with zero reliability events and exact action replay.,"100 games and >=10k decisions, zero reliability events, deterministic checkpoint/resume parity.","Any silent fallback, swallowed worker failure, nonzero policy lag, recurrent ownership crossing, unclassified terminal, or replay mismatch.",<=1 T4 hour; <=6 CPU hours.,Permit E05 and real on-policy evaluation.,Do not run PPO; fix bridge while BC/offline analysis and deterministic hedge continue.,Reduce to a single-process trace and classify every discrepancy.,No omitted native asset required for source audit; execution requires authorized private engine.,Systems/RL lead,2026-07-26T00:00:00Z,5,3,1,It is the hard safety gate for all learned-policy field testing and can run in parallel with data qualification.
3,E02,Native option-order signal ablation,"Whether suppressing raw option position discards a cheap, competition-relevant prior.",A small normalized option-position embedding improves held-out log loss and on-policy strength without creating brittle permutation dependence.,"Option order is spurious, engine-version-specific, or causes shortcuts that fail under perturbation.",E01-qualified exact-deck labels; semantic projection; native order retained only in one branch.,"First E01-qualified deck, expected Mega Lucario.","Qualified teachers; held-out teacher, time, matchup, and episode splits.",Same seed/model; order-blind control versus position-feature treatment.,Recurrent autoregressive BC; all G2 parameters trainable; token cross-entropy including STOP.,Single T4 or CPU/GPU notebook.,5k labels per arm; 200 screening games per arm against fixed population.,0.2,0.6,1.5,Checkpoint at 1k/5k labels; exact config/model/data hashes.,Held-out full-action NLL and exact match; on-policy paired win-rate delta.,Randomly permuted legal-option order at validation; option-0 deterministic policy; uniform policy; card-ID-only model.,Position arm improves held-out NLL >=5% relative and no permutation-control collapse >10 pp.,At least +5 pp paired on-policy win rate with no held-out archetype regression >3 pp at >=400 games/arm.,"Illegal action, reliance on missing position at submission, >10 pp collapse under semantically equivalent option permutation, or leakage of teacher action index.",<=1.5 GPU hours plus <=1 CPU evaluation hour.,Include position feature with permutation regularization in E03.,Keep current semantic order-blind projection.,Increase to 25k labels only if offline metrics and 200-game result disagree.,E01 screening pass.,Model lead,2026-07-26T12:00:00Z,4,2,1,"Forum evidence suggests native order can be unusually strong; this is a cheap, falsifiable architecture decision."
4,E03,Recurrent autoregressive BC scaling pilot,Whether exact-deck imitation creates on-policy competence rather than only offline accuracy.,Scaling from 5k to 25k to 100k qualified decisions yields monotonic held-out NLL gains and at least a competent rule-baseline-level policy.,Teacher/deck entanglement and covariate shift make offline accuracy non-transferable; BC should not be the primary path.,E01-qualified corpus with episode/teacher/deck/matchup/time splits; E02 feature decision.,Mega Lucario unless E01 selects another deck.,Two or more teachers; validation includes held-out teacher and hard matchups.,G2 architecture; compare random initialization and optional rule-policy distillation initialization.,"All 970,022 parameters; weighted token NLL over legal options; autoregressive without-replacement trace; STOP loss; optional teacher-strength weights; no outcome reward in pilot.",T4x1/T4x2; CPU evaluation.,"5k/25k/100k labels; 3 seeds at 25k and 100k; 200 games/opponent screening, 600 confirmation for promoted checkpoint.",0.5,2.0,5.0,Checkpoints every 5k labels or 15 minutes; retain optimizer/RNG/data cursor and best held-out NLL plus on-policy champion.,"Full-action exact match, token NLL, calibration, teacher regret, H2H vs teacher/rule anchors, state-distribution divergence, zero illegal/fallback.",Frequency/order baseline; history-dropped model; shuffled teacher labels; winner-only versus both-player weighting; forced-row loss disabled.,"At 25k: >=25% NLL reduction vs strongest non-neural baseline, >=60% full-action exact match, zero illegal/fallback, and >=30% H2H vs teacher or >=5 pp over deterministic baseline.","At 100k: >=70% full-action exact match, >=40% H2H vs teacher, >=5 pp aggregate over deterministic hedge, no important matchup below 35%, and consistent direction in >=2/3 seeds.",Offline metrics improve while H2H falls >=5 pp twice; illegal/fallback event; teacher leakage; held-out teacher or matchup collapse >10 pp; no scaling from 25k to 100k.,<=5 GPU hours and <=6 CPU evaluation hours.,Promote best BC checkpoint to E05; preserve as rollback submission candidate if runtime-safe.,Stop imitation expansion; use deterministic hedge and consider a 100k-choice PPO canary only.,Acquire one targeted DAgger-like rule-teacher slice on learner states or run one additional seed; no 500k-label expansion.,E01 confirmation pass and E02 decision recorded.,Model/RL lead,2026-07-28T00:00:00Z,5,3,2,This is the cheapest direct test of the recommended learned path and explicitly rejects the action-accuracy trap.
5,E08,Deterministic specialist hedge and perturbation controls,"Whether a faithfully reproduced rule/copied specialist can remain a competitive, shippable second active agent.",The included Mega Lucario policy plus only validated guards/order conventions is stronger and safer than a generic learned checkpoint during experimentation.,"The rule policy is stale, overfit to narratives, or too weak for the current meta.",Included rule-agent source and exact deck; current fixed anchor population; no copied private code.,Mega Lucario; compare Mega Abomasnow and Dragapult rule agents.,"Current anchors, historical checkpoints, targeted counters, seat-balanced.",Deterministic rule code.,None.,"CPU only, submission-equivalent package.","400 games/variant for screen; 1,200 for confirmation; no training.",0.5,2.0,5.0,Versioned source/deck tarball; exact deterministic traces; rollback-ready champion.,"Meta-weighted win rate, worst important matchup, runtime/failure rate.",Remove each narrative guard; randomize equivalent option order; native policy unchanged; first-legal baseline.,Variant point estimate >=+5 pp versus original on targeted loss bucket and aggregate not worse by >2 pp.,"Aggregate lower bound above original by >0 or mean +3 pp, no important matchup regression >5 pp, zero runtime failures.","Any invalid action, timeout, narrative fix that fails perturbation control, or aggregate regression >=5 pp.",<=5 CPU hours; 0 accelerator.,Freeze as backup/second active path.,Revert to unmodified strongest included rule policy.,Keep original; do not add the guard.,Submission runtime/package smoke.,Policy/domain lead,2026-07-27T12:00:00Z,4,2,1,Maintains a shippable hedge while learned branches are uncertain.
6,E05,BC to KL-regularized recurrent PPO canary,Whether bounded on-policy learning improves the teacher-warm-started policy without catastrophic forgetting.,100k meaningful choices with adaptive KL and an auxiliary BC loss improve held-out population strength by >=5 pp.,Sparse reward/nonstationarity destroys BC competence or yields no measurable gain.,Best E03 BC checkpoint; E04-qualified bridge; frozen opponent population and deck.,Promoted specialist.,"40% deterministic/rule anchors, 30% historical BC/checkpoints, 20% self-play, 10% hard exploiters; frozen per run.",Best BC checkpoint.,"Recurrent PPO, public critic, GAE; adaptive teacher KL target 0.01-0.03; auxiliary BC minibatch weight decays 1.0 to 0.1; all parameters trainable.",T4x2 preferred; TPU only after E11 qualification.,"100k meaningful choices = 6 full 16,384-choice updates plus 1,696 remainder; define partial-update handling before launch; 3 seeds only after one-seed screen.",0.4,1.5,4.0,Every update and 25k choices; exact optimizer/RNG/rollout/opponent state; preserve starting BC.,"Paired meta-weighted win-rate delta vs starting BC; KL, clip fraction, value calibration, illegal/fallback, matchup floor.",Frozen BC; PPO without auxiliary BC on one small seed; reward-shuffled diagnostic forbidden from promotion.,"At 100k one seed: point estimate >=+5 pp aggregate, no matchup <=-5 pp, KL within target, zero reliability events.",At least 2/3 seeds positive; pooled lower bound >0 improvement at >=600 games/important population; no important matchup floor <35%.,"Aggregate -5 pp, any important matchup -10 pp, KL >0.05 for two updates, entropy collapse, value divergence, illegal/fallback, or resume mismatch.",<=4 GPU hours for screen; <=8 GPU hours including 3-seed confirmation.,Run E07 500k staged confirmation.,Revert to BC champion and stop this PPO configuration.,One additional 100k seed or more evaluation; do not extend the same run to 500k.,E03 pass and E04 pass.,RL lead,2026-07-30T00:00:00Z,5,3,2,Tests the exact hybrid advantage with a bounded downside and rollback.
7,E06,Starmie specialist challenger gate,Whether a lower-branching current-meta archetype should replace Mega Lucario as the learned specialist.,A current exact-list Starmie corpus produces faster BC competence and better meta-weighted transfer than Lucario.,The apparent Starmie strength is sample-selection bias or stale visible meta; exact list/teacher coverage is insufficient.,Current official/public episodes and exact public deck source; same E01/E03 protocol.,"One exact, legality-verified Starmie 60-card list.","At least two strong, recent, policy-consistent Starmie teachers.",Same architecture/seeds as Lucario BC.,Same as E03.,T4.,25k labels screen; 100k only if screen passes; equal evaluation budget to Lucario.,0.5,2.0,5.0,Same as E03.,Head-to-head and meta-weighted difference vs equal-budget Lucario; sample-efficiency curve.,Same teachers with shuffled outcomes; old versus recent episode window; exact-list mismatch rejection.,E01 confirmation plus 25k BC meets E03 screen and is >=5 pp above Lucario at equal budget.,"At 100k, >=8 pp above Lucario pooled, no catastrophic matchup floor, >=2/3 seeds.","No exact list, teacher inconsistency, visible-meta-only gain, or any important matchup <30%.",<=5 GPU hours.,Switch primary learned specialist to Starmie; retain Lucario deterministic hedge.,Stop Starmie branch.,Keep Lucario primary; collect only targeted additional Starmie evidence.,Exact-list/current-teacher E01 gate.,Data/model lead,2026-07-31T00:00:00Z,4,3,2,"Potentially high upside, but gated because current exact-list evidence is absent from the archive."
8,E07,500k-choice hybrid confirmation and historical league,Whether the successful 100k hybrid gain persists and is large enough to justify final training.,Five staged 100k chunks produce monotonic or recoverable strength gains without forgetting.,The canary gain was noise/multiple comparison or plateaus before meaningful field strength.,Promoted E05 configuration; frozen training/evaluation populations; historical checkpoints.,Promoted specialist.,"Rule anchors, teacher, historical checkpoints, held-out exploiters, recent meta decks.",Best confirmed 100k hybrid checkpoint or original BC according to predeclared rule.,"Same E05, with KL/BC schedule frozen before run.",T4x2.,"500k choices = 30 full updates + 8,480 remainder per seed; 2 seeds screen, third only for confirmation.",1.0,4.0,12.0,100k chunks; stop and evaluate each chunk; preserve every historical champion.,"Meta-weighted paired improvement, lower bound, worst matchup, cross-seed consistency.",Starting BC; 100k champion; historical checkpoint tournament; no result-dependent hyperparameter changes.,At least one of 200k/300k/500k beats 100k champion by >=3 pp with no catastrophic regression.,"3 seeds or predeclared 2+1 design; candidate-minus-anchor lower bound >2 pp, mean >3 pp, all floors pass at >=3,000 games total.","Two consecutive chunk regressions >=5 pp, important matchup <35%, reliability event, or compute rate below 35 choices/s.",<=12 GPU hours before redecision.,Freeze final learned champion and package.,Return to best earlier BC/hybrid checkpoint; no 5M extension.,"Increase evaluation, not experience, unless uncertainty is demonstrably evaluation-limited.",E05 confirmation pass.,RL/evaluation lead,2026-08-05T00:00:00Z,4,3,3,Only justified after the 100k experiment proves decision value.
9,E09,"Selective search availability, latency, and strength ablation",Whether bounded search adds value only in uncertain tactical states and fits the real runtime.,Gated 1-8 rollout search improves weak/high-uncertainty decisions without harming a strong policy or exceeding runtime.,"Search amplifies model error, hidden-state misspecification, or latency and harms strong policies as forum reports indicate.",Official CABT search API/runtime; packaged candidate; legal hidden-zone hypotheses; no engine modification.,Promoted specialist plus Alakazam tactical comparator if available.,Hard tactical loss buckets and full held-out population.,Frozen learned or deterministic policy.,None initially; policy/value used for leaf/rerank.,Submission-equivalent CPU.,0/1/4/8 rollout variants; 200 targeted + 400 aggregate games each.,1.0,4.0,10.0,Versioned search config; per-decision latency trace; immediate fallback to no-search.,Targeted and aggregate win-rate delta; p95/p99 decision and game latency; timeout risk.,No-search; random rollout; search on every state; uncertainty gate shuffled.,Targeted +5 pp and aggregate >=-2 pp; API present in exact package; p99 game inference <60 s and max projected cumulative <300 s.,"Aggregate +3 pp with no matchup -5 pp at 1,200 games; zero timeout; deterministic package parity.","API absent, hidden-state leakage, manual coin bias, timeout, aggregate -5 pp, or stronger-policy degradation.",<=10 CPU hours; 0 accelerator.,Use only the smallest passing gated search.,Ship no-search policy.,Restrict to one tactical context and rerun; no broader search.,Official runtime/API verification and stable champion.,Search/runtime lead,2026-08-07T00:00:00Z,3,4,2,"Potential tactical upside, but current evidence warns it can harm strong policies and runtime verification is missing."
10,E10,Frozen local tournament and meta-weighted confirmation,Which checkpoint/deck is the best expected submission and whether a second active path adds portfolio value.,A champion selected by held-out cross-play and worst-matchup floors transfers better than mirror/action-accuracy selection.,Visible meta weights are biased and no local population predicts the hidden ladder.,"Training opponents, held-out agents, historical checkpoints, public rules, specialist exploiters, recent visible meta with uncertainty bands.",All finalists.,At least 5 fixed anchors + held-out decks + exploiters; separate training/eval.,Frozen candidates only.,None.,CPU farm/submission-equivalent.,"Screen 200 games/cell; confirm 600-1,200/cell for finalists; >=3,000 frozen-population games for champion.",3.0,10.0,30.0,Append-only match manifest; no candidate mutation after tournament begins.,"Meta-weighted score with uncertainty, equal-anchor diagnostic, seat split, worst important matchup, reliability/latency.",Mirror-only ranking; random-agent-only ranking; equal versus meta weights; 3/7/14-day meta sensitivity.,Candidate point estimate >=+5 pp vs current champion and no floor breach.,"Probability improvement >0 >=0.99, lower bound >2 pp, mean >3 pp, all floors, runtime/package pass.","Multiple-comparison-adjusted failure, exploiter collapse, package mismatch, or any reliability event.",<=30 CPU hours; 0 accelerator.,Freeze active pair and submission order.,Keep prior champion and hedge.,Collect more games only for the decision-critical cells using sequential stopping.,"At least two frozen, package-ready candidates.",Independent evaluation lead,2026-08-10T00:00:00Z,5,3,2,Prevents leaderboard and mirror overfitting; mandatory before final promotion.
